word,count
eroi,8
gravi,8
democratici,8
barbaramente,8
professione,8
legittima,8
giovane,8
guida,8
prudenza,8
morire,8
campagna,8
prende,8
tivù,8
occuparsi,8
compagnia,8
2130,8
buongoverno,8
90,8
sola,8
vincenzo,8
mafie,8
fuga,8
andiamo,8
martedì,8
arrivi,8
togliere,8
coda,8
brescia,8
concretezza,8
litigano,8
tristezza,8
bernardosindaco,8
sapere,8
responsabile,8
positivo,8
correre,8
caffè,8
sembra,8
entrare,8
ballo,8
fede,8
là,8
trovato,8
quali,8
occasione,8
previsti,8
veloci,8
gt,8
mille,8
assunzioni,8
crescere,8
stefani,8
cielo,8
maggior,8
attacco,8
radicale,8
galera,8
chiusura,8
rischia,8
trasporti,8
certi,8
magistratura,8
oppure,8
sala,8
porto,8
poliziotti,8
fatturato,8
dellordine,8
stampa,8
indagato,8
clandestino,8
unione,8
omicidio,8
colleghi,8
impegnata,8
tassa,8
storie,8
aperture,8
lampedusa,8
bellissimo,8
espresso,8
ambasciatore,8
terrorismo,8
base,8
tragedia,8
arma,8
sullimmigrazione,8
marco,8
fermare,8
giustamente,8
lingua,8
madre,8
commercio,8
internazionale,8
arresti,8
bravi,8
serena,8
riunione,8
usando,8
privata,8
qualsiasi,8
video,8
divorziati,8
videoconferenza,8
peraltro,8
ritardo,8
umani,8
accusato,8
convinto,8
quei,8
cambiato,8
orbán,8
efficace,8
regime,8
comunista,8
giorgetti,8
governare,8
produrre,8
sanitario,8
lamorgese,8
russia,8
lemergenza,8
comunali,8
fiduciadraghi,8
consultazioni,8
primagliitaliani,8
costruttori,8
collego,8
incapace,8
seguito,8
delliva,8
permetteteci,8
deputati,8
skytg24livein,8
siena,7
tantissimi,7
potuto,7
lottare,7
iniziativa,7
29,7
lho,7
affetti,7
belle,7
ciao,7
tamponi,7
garanzia,7
sette,7
nomi,7
ricordare,7
basso,7
cura,7
luce,7
povero,7
ottenere,7
storica,7
consiglieri,7
toscana,7
radio,7
sportive,7
reati,7
inoltre,7
como,7
colpite,7
vinto,7
carriera,7
raccolte,7
spirito,7
rischiano,7
stabilità,7
applausi,7
19,7
forse,7
proteggere,7
genio,7
quartiere,7
splendido,7
ponte,7
affettuoso,7
scorso,7
porro,7
dose,7
parigi,7
ripresa,7
arrestato,7
rosse,7
fortunatamente,7
claudio,7
proposto,7
punti,7
arrivo,7
democratica,7
elettorale,7
riforme,7
approvare,7
francese,7
discussione,7
resto,7
contare,7
roberto,7
patria,7
spirlì,7
lamezia,7
terme,7
parlamentare,7
assoluta,7
tipo,7
marina,7
punire,7
discriminazione,7
farlo,7
luigi,7
21,7
casi,7
ho,7
erika,7
evasori,7
costante,7
sofferto,7
sbarcati,7
ideologia,7
passare,7
partiti,7
nota,7
mezzogiorno,7
protagonisti,7
efficiente,7
condanna,7
innocenti,7
europee,7
sintonia,7
investimenti,7
strade,7
popolazione,7
ottenuto,7
austria,7
mafiosi,7
tav,7
velocità,7
condivisa,7
motivo,7
polemica,7
continuare,7
indagati,7
poliziotto,7
tolleranza,7
franceschini,7
passa,7
sentire,7
combatte,7
qualunque,7
disastri,7
piace,7
realizzare,7
reale,7
olanda,7
arrivati,7
metta,7
